timestamp,test-class,test-method,time,description,result
2021-08-30 14:50:45.862,acme.testing.administrator.userAccount.AdministratorUserAccountUpdateTest,updateNegative,497,"[1] username=null, password=null",OK
2021-08-30 14:50:48.949,acme.testing.administrator.userAccount.AdministratorUserAccountUpdateTest,updateNegative,2815,"[2] username=manager2, password=manager2",OK
2021-08-30 14:50:56.141,acme.testing.administrator.userAccount.AdministratorUserAccountUpdateTest,updatePositive,6854,"[1] recordIndex=3, username=manager3, name=Manager3, surname=Manager3, email=manager3@gmail.com, roles=Manager Authenticated, status=ENABLED, newStatus=KEEP",OK
2021-08-30 14:51:15.277,acme.testing.administrator.userAccount.AdministratorUserAccountListTest,listPositive,3871,"[1] recordIndex=0, username=anonymous, name=John, surname=Doe, email=john.doe@acme.com, roles=Anonymous, status=DISABLED",OK
2021-08-30 14:51:19.424,acme.testing.administrator.userAccount.AdministratorUserAccountListTest,listPositive,3893,"[2] recordIndex=1, username=administrator, name=Administrator, surname=Acme.com, email=administrator@acme.com, roles=Administrator Authenticated, status=ENABLED",OK
2021-08-30 14:51:23.577,acme.testing.administrator.userAccount.AdministratorUserAccountListTest,listPositive,3891,"[1] recordIndex=2, username=manager2, name=Manager2, surname=Manager2, email=manager2@gmail.com, roles=Manager Authenticated, status=ENABLED, newStatus=KEEP",OK
2021-08-30 14:51:24.114,acme.testing.administrator.userAccount.AdministratorUserAccountListTest,listNegative,280,"[1] username=null, password=null",OK
2021-08-30 14:51:27.119,acme.testing.administrator.userAccount.AdministratorUserAccountListTest,listNegative,2747,"[2] username=manager2, password=manager2",OK
2021-08-30 14:51:43.707,acme.testing.anonymous.workplan.AnonymousWorkPlanListTest,listPositive,1319,"[1] recordIndex=1, startDate=2021/09/30 10:00, endDate=2021/09/30 11:30, workLoad=26.00, publicPlan=true",OK
2021-08-30 14:51:45.281,acme.testing.anonymous.workplan.AnonymousWorkPlanListTest,listPositive,1321,"[2] recordIndex=2, startDate=2021/09/18 20:00, endDate=2021/09/18 22:30, workLoad=5.00, publicPlan=true",OK
2021-08-30 14:51:48.32,acme.testing.anonymous.workplan.AnonymousWorkPlanListTest,listNegative,2783,"[1] username=manager2, password=manager2",OK
2021-08-30 14:51:51.405,acme.testing.anonymous.workplan.AnonymousWorkPlanListTest,listNegative,2833,"[2] username=administrator, password=administrator",OK
2021-08-30 14:52:14.383,acme.testing.administrator.spamfilter.threshold.AdministratorThresholdUpdateTest,updatePositive,7250,"[1] recordIndex=0, value=15.00",OK
2021-08-30 14:52:21.831,acme.testing.administrator.spamfilter.threshold.AdministratorThresholdUpdateTest,updatePositive,7193,"[2] recordIndex=0, value=20.00",OK
2021-08-30 14:52:26.625,acme.testing.administrator.spamfilter.threshold.AdministratorThresholdUpdateTest,updateNegative,4535,"[1] recordIndex=0, value=null",OK
